X	Y	Z	INT_TOP
-20.8272	3.01821	8.01038	2.39258
-20.8272	3.02821	8.01027	3.24707
-20.8272	3.03824	8.01001	2.31934
-20.8272	3.04824	8.01009	2.39258
-20.8273	3.05824	8.00985	2.83203
-20.8273	3.06821	8.00997	2.73438
-20.8274	3.07819	8.00981	1.87988
-20.8274	3.08816	8.01007	2.85645
-20.8275	3.09814	8.00986	2.75879
-20.8276	3.10814	8.00957	2.66113
-20.8276	3.11816	8.00961	2.63672
-20.8277	3.12819	8.00995	1.51367
-20.8278	3.13819	8.00954	2.46582
-20.8278	3.14821	8.00891	2.83203
-20.8279	3.15826	8.00871	2.29492
-20.8279	3.16829	8.00855	2.66113
-20.828	3.17829	8.00823	2.22168
-20.8281	3.18829	8.00821	2.27051
-20.8281	3.19831	8.00785	2.29492
-20.8281	3.20836	8.00793	2.66113
-20.8281	3.21836	8.008	2.88086
-20.8281	3.22834	8.0077	2.19727
-20.8281	3.23831	8.00751	2.29492
-20.8281	3.24831	8.00787	2.68555
-20.8281	3.25834	8.00786	2.46582
-20.8281	3.26834	8.00738	2.66113
-20.828	3.27834	8.00662	1.85547
-20.828	3.28834	8.00727	2.58789
-20.8279	3.29831	8.0065	2.68555
-20.8279	3.30829	8.00617	2.41699
-20.8279	3.31831	8.00566	1.97754
-20.8279	3.32836	8.00539	1.95313
-20.8278	3.33841	8.00615	1.61133
-20.8278	3.34844	8.00608	2.51465
-20.8278	3.35846	8.00616	2.36816
-20.8277	3.36851	8.00639	2.90527
-20.8277	3.37854	8.00573	2.63672
-20.8276	3.38854	8.00633	2.51465
-20.8276	3.39854	8.00627	3.68652
-20.8276	3.40854	8.00592	3.10059
-20.8276	3.41854	8.00621	2.85645
-20.8275	3.42854	8.00572	2.66113
-20.8275	3.43854	8.0055	2.88086
-20.8275	3.44854	8.00525	3.125
-20.8275	3.45854	8.00495	2.49023
-20.8275	3.46854	8.00471	1.9043
-20.8275	3.47854	8.00502	2.19727
-20.8275	3.48854	8.00537	2.6123
-20.8275	3.49851	8.00539	3.90625
-20.8275	3.50849	8.00515	4.19922
-20.8275	3.51846	8.00484	2.88086
-20.8275	3.52846	8.0049	3.19824
-20.8275	3.53846	8.00461	2.66113
-20.8275	3.54844	8.00467	2.88086
-20.8275	3.55844	8.00425	2.53906
-20.8275	3.56841	8.00337	2.00195
-20.8275	3.57839	8.00324	2.12402
-20.8275	3.58839	8.00355	2.9541
-20.8275	3.59836	8.00367	2.70996
-20.8275	3.60834	8.00347	2.27051
-20.8275	3.61834	8.00346	1.63574
-20.8274	3.62834	8.00408	1.83105
-20.8274	3.63831	8.00386	1.66016
-20.8275	3.64829	8.00382	1.63574
-20.8275	3.65829	8.00406	1.19629
-20.8276	3.66826	8.00561	0.854492
-20.8276	3.67821	8.00541	0.561523
-20.8276	3.68816	8.00406	0.390625
-20.8276	3.69814	8.00256	0.317383
-20.8277	3.70816	8.00234	0.268555
-20.8277	3.71819	8.00323	0.585938
-20.8277	3.72821	8.00344	0.415039
-20.8277	3.73826	8.00055	0.292969
-20.8277	3.74829	8.0019	0.292969
-20.8277	3.75829	8.00399	0.317383
-20.8277	3.76829	8.00647	0.366211
-20.8277	3.77831	8.00823	0.78125
-20.8277	3.78834	8.00833	0.878906
-20.8277	3.79836	8.00706	0.585938
-20.8277	3.80836	8.00666	0.65918
-20.8277	3.81834	8.00558	0.585938
-20.8277	3.82834	8.00473	0.268555
-20.8277	3.83834	8.00425	0.390625
-20.8277	3.84834	8.00619	0.415039
-20.8277	3.85834	8.00721	0.585938
-20.8277	3.86834	8.0072	0.463867
-20.8277	3.87834	8.00455	0.341797
-20.8277	3.88834	8.00312	0.537109
-20.8277	3.89834	8.00487	0.561523
-20.8277	3.90834	8.00417	0.488281
-20.8277	3.91836	8.00277	0.927734
-20.8276	3.92836	8.0009	0.805664
-20.8276	3.93834	7.99967	1.3916
-20.8276	3.94836	7.99939	2.34375
-20.8276	3.95839	7.99914	2.51465
-20.8276	3.96841	7.99922	2.90527
-20.8275	3.97844	7.9991	2.9541
-20.8275	3.98841	7.99927	2.34375
-20.8275	3.99836	7.99959	1.0498
-20.8275	4.00834	8.00079	1.36719
-20.8275	4.01834	8.00013	0.854492
-20.8275	4.02836	8.00017	1.14746
-20.8275	4.03839	8.001	1.07422
-20.8275	4.04839	8.00042	1.19629
-20.8276	4.05841	7.99923	0.90332
-20.8275	4.06844	8.00013	1.02539
-20.8275	4.07844	8.00025	0.512695
-20.8275	4.08849	8.00037	0.805664
-20.8275	4.09854	8.00052	0.463867
-20.8275	4.10856	7.99944	0.585938
-20.8275	4.11861	8.00092	0.439453
-20.8275	4.12866	8.0017	0.439453
-20.8275	4.13871	8.00304	0.488281
-20.8275	4.14874	8.00217	0.683594
-20.8275	4.15874	8.00297	0.415039
-20.8275	4.16871	8.00048	0.439453
-20.8275	4.17864	7.99647	0.78125
-20.8275	4.18854	7.99723	0.65918
-20.8275	4.19846	7.99889	0.170898
-20.8275	4.20839	7.99903	0.317383
-20.8275	4.21831	7.99932	0.219727
-20.8275	4.22829	7.9988	0.195313
-20.8275	4.23826	8.00075	0.366211
-20.8275	4.24819	8.00288	0.488281
-20.8275	4.25816	8.00304	0.415039
-20.8275	4.26819	8.00409	0.195313
-20.8275	4.27821	8.00738	0.244141
-20.8276	4.28826	8.00636	0.488281
-20.8276	4.29831	8.0046	0.439453
-20.8276	4.30836	8.00074	0.439453
-20.8276	4.31839	7.99892	0.390625
-20.8277	4.32841	7.99709	1.44043
-20.8277	4.33844	7.99625	1.26953
-20.8277	4.34844	7.995	1.00098
-20.8277	4.35844	7.99461	3.27148
-20.8277	4.36844	7.99432	1.53809
-20.8277	4.37844	7.99586	1.41602
-20.8277	4.38841	7.99727	1.34277
-20.8277	4.39839	7.99455	0.805664
-20.8277	4.40836	7.99493	0.634766
-20.8277	4.41834	7.99363	1.5625
-20.8277	4.42834	7.99464	0.854492
-20.8276	4.43831	7.99476	0.927734
-20.8276	4.44831	7.99421	0.927734
-20.8276	4.45836	7.99636	0.463867
-20.8276	4.46841	7.9954	1.0498
-20.8276	4.47844	7.9968	0.268555
-20.8277	4.48841	7.99669	0.219727
-20.8277	4.49839	7.99691	0.12207
-20.8277	4.50839	7.99724	0.219727
-20.8277	4.51841	8.00063	0.268555
-20.8277	4.52846	8.00202	0.78125
-20.8277	4.53851	8.00075	0.317383
-20.8277	4.54856	8.00014	0.463867
-20.8277	4.55861	8.00045	0.537109
-20.8277	4.56866	8.00212	2.09961
-20.8277	4.57871	7.99947	0.317383
-20.8277	4.58874	7.99754	0.170898
-20.8277	4.59874	7.99983	0.366211
-20.8276	4.60871	8.00255	0.463867
-20.8276	4.61866	8.0035	0.537109
-20.8277	4.62864	8.00324	0.512695
-20.8277	4.63861	7.99972	0.488281
-20.8277	4.64856	7.99697	0.878906
-20.8276	4.65854	7.99995	0.439453
-20.8276	4.66854	7.99999	0.366211
-20.8276	4.67856	7.99324	0.854492
-20.8276	4.68859	7.99184	0.805664
-20.8276	4.69861	7.99101	0.976563
-20.8277	4.70861	7.99168	1.12305
-20.8276	4.71859	7.99037	1.46484
-20.8276	4.72859	7.98954	1.83105
-20.8276	4.73859	7.9889	1.61133
-20.8276	4.74859	7.98888	2.27051
-20.8276	4.75859	7.98872	2.05078
-20.8276	4.76859	7.98872	2.6123
-20.8276	4.77856	7.98819	1.80664
-20.8276	4.78851	7.98795	2.14844
-20.8276	4.79849	7.98792	2.73438
-20.8276	4.80846	7.98755	2.6123
-20.8276	4.81844	7.98765	2.73438
-20.8276	4.82844	7.98726	2.73438
-20.8276	4.83844	7.98741	2.49023
-20.8276	4.84841	7.98744	3.00293
-20.8276	4.85841	7.98744	2.39258
-20.8276	4.86844	7.98735	2.36816
-20.8276	4.87846	7.98753	2.44141
-20.8276	4.88844	7.98776	3.27148
-20.8276	4.89841	7.98751	2.66113
-20.8277	4.90844	7.98727	2.51465
-20.8276	4.91844	7.98718	3.00293
-20.8276	4.92846	7.9871	2.9541
-20.8276	4.93849	7.98648	2.73438
-20.8276	4.94849	7.98614	3.10059
-20.8276	4.95846	7.98619	2.73438
-20.8276	4.96844	7.98579	2.17285
-20.8276	4.97841	7.98543	2.09961
-20.8276	4.98836	7.98479	2.34375
-20.8276	4.99834	7.98527	2.9541
-20.8276	5.00834	7.98473	2.34375
-20.8276	5.01831	7.98494	2.27051
-20.8276	5.02829	7.98494	2.70996
-20.8276	5.03829	7.9848	2.09961
-20.8276	5.04829	7.98503	2.17285
-20.8276	5.05829	7.98498	2.41699
-20.8276	5.06831	7.98441	1.07422
-20.8277	5.07834	7.98536	2.19727
-20.8277	5.08834	7.98579	1.34277
-20.8277	5.09836	7.98465	2.34375
-20.8277	5.10839	7.98506	2.12402
-20.8277	5.11839	7.98457	2.36816
-20.8277	5.12839	7.98506	2.19727
-20.8277	5.13839	7.98492	2.29492
-20.8277	5.14839	7.98389	2.09961
-20.8277	5.15839	7.98325	1.58691
-20.8276	5.16841	7.98313	1.44043
-20.8276	5.17846	7.98638	1.02539
-20.8276	5.18849	7.9847	0.415039
-20.8276	5.19851	7.98194	0.366211
-20.8276	5.20854	7.98028	0.366211
-20.8276	5.21854	7.98022	0.415039
-20.8276	5.22854	7.98106	0.317383
-20.8276	5.23854	7.98571	0.415039
-20.8276	5.24856	7.99237	0.146484
-20.8275	5.25859	7.99229	0.561523
-20.8275	5.26861	7.98855	0.512695
-20.8275	5.27864	7.98681	0.78125
-20.8275	5.28861	7.98579	0.878906
-20.8275	5.29859	7.98495	1.07422
-20.8275	5.30859	7.98342	1.17188
-20.8275	5.31861	7.98237	2.88086
-20.8275	5.32866	7.98235	2.68555
-20.8275	5.33869	7.98224	2.97852
-20.8276	5.34871	7.98225	2.70996
-20.8276	5.35874	7.98166	2.53906
-20.8276	5.36871	7.98134	2.31934
-20.8276	5.37871	7.98088	1.87988
-20.8276	5.38874	7.9804	2.22168
-20.8276	5.39871	7.98036	2.73438
-20.8275	5.40871	7.98071	2.39258
-20.8275	5.41874	7.98001	2.12402
-20.8275	5.42874	7.98063	2.39258
-20.8275	5.43869	7.9805	2.63672
-20.8275	5.44864	7.98038	2.88086
-20.8275	5.45859	7.97997	2.6123
-20.8275	5.46854	7.97988	2.31934
-20.8275	5.47854	7.97954	2.46582
